Date,Departure,Arrival,Coach Class,Train Brand,Changes,Train Number,Departure Time,Duration,Price,Currency,Fare,Change Station
2025-08-04,Firenze S. M. Novella,Pisa Centrale,2ND CLASS,Regional ,direct,18251,00:40,1h 23min,9.30,€,ORDINARIA,NULL
2025-08-04,Firenze S. M. Novella,Pisa Centrale,2ND CLASS,Regional ,direct,18253,04:30,1h 22min,9.30,€,ORDINARIA,NULL
2025-08-04,Firenze S. M. Novella,Pisa Centrale,2ND CLASS,Regional ,direct,18355,06:08,1h 24min,9.30,€,ORDINARIA,NULL
2025-08-04,Firenze S. M. Novella,Pisa Centrale,2ND CLASS,Regional ,direct,18263,06:53,1h 13min,9.30,€,ORDINARIA,NULL
2025-08-04,Firenze S. M. Novella,Pisa Centrale,2ND CLASS,Fast Regional,direct,4011,07:00,51min,9.30,€,ORDINARIA,NULL
2025-08-04,Firenze S. M. Novella,Pisa Centrale,2ND CLASS,Regional ,direct,94489,07:10,1h 10min,9.30,€,ORDINARIA,NULL
2025-08-04,Firenze S. M. Novella,Pisa Centrale,2ND CLASS,Regional |FRECCIARGENTO,1 change,18745|8588,07:34,1h 14min,1.60,€,ORDINARIA,Firenze Campo Di Marte
2025-08-04,Firenze S. M. Novella,Pisa Centrale,2ND CLASS,Regional |FRECCIARGENTO,1 change,18745|8588,07:34,1h 14min,20.50,€,BASE,Firenze Campo Di Marte
2025-08-04,Firenze S. M. Novella,Pisa Centrale,2ND CLASS,Regional |FRECCIARGENTO,1 change,18745|8588,07:34,1h 14min,16.90,€,Economy,Firenze Campo Di Marte
2025-08-04,Firenze S. M. Novella,Pisa Centrale,1ST CLASS,Regional |FRECCIARGENTO,1 change,18745|8588,07:34,1h 14min,27.50,€,BASE,Firenze Campo Di Marte
2025-08-04,Firenze S. M. Novella,Pisa Centrale,1ST CLASS,Regional |FRECCIARGENTO,1 change,18745|8588,07:34,1h 14min,21.90,€,Economy,Firenze Campo Di Marte
