Date,Departure,Arrival,Coach Class,Train Brand,Changes,Train Number,Departure Time,Duration,Price,Currency,Fare,Change Station
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,STANDARD,FRECCIAROSSA 1000|FRECCIAROSSA|Regional ,2 changes,9281|9639|21113,07:30,14h 17min,89.00,€,Serenità,Milano Centrale|Salerno
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,BUSINESS,FRECCIAROSSA 1000|FRECCIAROSSA|Regional ,2 changes,9281|9639|21113,07:30,14h 17min,150.00,€,Serenità,Milano Centrale|Salerno
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,EXECUTIVE,FRECCIAROSSA 1000|FRECCIAROSSA|Regional ,2 changes,9281|9639|21113,07:30,14h 17min,305.00,€,Serenità,Milano Centrale|Salerno
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,STANDARD,FRECCIAROSSA 1000|FRECCIAROSSA|Regional ,2 changes,9281|9639|21113,07:30,14h 17min,104.00,€,BASE,Milano Centrale|Salerno
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,STANDARD,FRECCIAROSSA 1000|FRECCIAROSSA|Regional ,2 changes,9281|9639|21113,07:30,14h 17min,80.90,€,Economy,Milano Centrale|Salerno
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,STANDARD,FRECCIAROSSA 1000|FRECCIAROSSA|Regional ,2 changes,9281|9639|21113,07:30,14h 17min,45.90,€,Super Economy,Milano Centrale|Salerno
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,STANDARD,FRECCIAROSSA 1000|FRECCIAROSSA|Regional ,2 changes,9281|9639|21113,07:30,14h 17min,39.00,€,FrecciaYOUNG,Milano Centrale|Salerno
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,STANDARD,FRECCIAROSSA 1000|FRECCIAROSSA|Regional ,2 changes,9281|9639|21113,07:30,14h 17min,49.00,€,FrecciaSENIOR,Milano Centrale|Salerno
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,PREMIUM,FRECCIAROSSA 1000|FRECCIAROSSA|Regional ,2 changes,9281|9639|21113,07:30,14h 17min,125.00,€,BASE,Milano Centrale|Salerno
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,PREMIUM,FRECCIAROSSA 1000|FRECCIAROSSA|Regional ,2 changes,9281|9639|21113,07:30,14h 17min,90.90,€,Economy,Milano Centrale|Salerno
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,PREMIUM,FRECCIAROSSA 1000|FRECCIAROSSA|Regional ,2 changes,9281|9639|21113,07:30,14h 17min,58.90,€,Super Economy,Milano Centrale|Salerno
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,PREMIUM,FRECCIAROSSA 1000|FRECCIAROSSA|Regional ,2 changes,9281|9639|21113,07:30,14h 17min,54.00,€,FrecciaSENIOR,Milano Centrale|Salerno
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,BUSINESS,FRECCIAROSSA 1000|FRECCIAROSSA|Regional ,2 changes,9281|9639|21113,07:30,14h 17min,149.00,€,BASE,Milano Centrale|Salerno
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,BUSINESS,FRECCIAROSSA 1000|FRECCIAROSSA|Regional ,2 changes,9281|9639|21113,07:30,14h 17min,108.90,€,Economy,Milano Centrale|Salerno
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,BUSINESS,FRECCIAROSSA 1000|FRECCIAROSSA|Regional ,2 changes,9281|9639|21113,07:30,14h 17min,69.90,€,Super Economy,Milano Centrale|Salerno
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,BUSINESS,FRECCIAROSSA 1000|FRECCIAROSSA|Regional ,2 changes,9281|9639|21113,07:30,14h 17min,59.00,€,FrecciaSENIOR,Milano Centrale|Salerno
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,BUSINESS,FRECCIAROSSA 1000|FRECCIAROSSA|Regional ,2 changes,9281|9639|21113,07:30,14h 17min,159.00,€,BASE,Milano Centrale|Salerno
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,BUSINESS,FRECCIAROSSA 1000|FRECCIAROSSA|Regional ,2 changes,9281|9639|21113,07:30,14h 17min,118.90,€,Economy,Milano Centrale|Salerno
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,BUSINESS,FRECCIAROSSA 1000|FRECCIAROSSA|Regional ,2 changes,9281|9639|21113,07:30,14h 17min,76.90,€,Super Economy,Milano Centrale|Salerno
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,EXECUTIVE,FRECCIAROSSA 1000|FRECCIAROSSA|Regional ,2 changes,9281|9639|21113,07:30,14h 17min,310.00,€,BASE,Milano Centrale|Salerno
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,2ND CLASS,FRECCIAROSSA 1000|FRECCIAROSSA|Regional ,2 changes,9281|9639|21113,07:30,14h 17min,8.15,€,ORDINARIA,Milano Centrale|Salerno
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,STANDARD,FRECCIAROSSA 1000|FRECCIAROSSA 1000,1 change,9281|9547,07:30,15h 13min,89.00,€,Serenità,Milano Centrale
2025-08-25,Paris-Gare-De-Lyon,Potenza Centrale,BUSINESS,FRECCIAROSSA 1000|FRECCIAROSSA 1000,1 change,9281|9547,07:30,15h 13min,150.00,€,Serenità,Milano Centrale
